법정동명,법정동단위 거주인구,법정동 단위 생활인구수
석촌동,31959.0,895565.7182791666
삼전동,30274.0,957580.2070125
가락동,85596.0,2776024.0485
문정동,49229.5,1770590.94421875
장지동,51155.5,1795379.1966145833
방이동,60325.0,2225701.1429333333
오금동,38345.0,1128236.8706833334
거여동,57913.0,1622216.2260208332
마천동,37379.0,827735.2539666666
목동,148824.0,4404477.2571083335
신월동,122191.0,2570998.2636458334
영등포동,14860.611111111111,467772.24843958335
영등포동1가,3354.111111111111,175822.8228625
영등포동2가,3354.111111111111,175822.8228625
영등포동3가,3354.111111111111,175822.8228625
영등포동4가,3354.111111111111,175822.8228625
영등포동5가,3354.111111111111,175822.8228625
영등포동6가,3354.111111111111,175822.8228625
영등포동7가,3354.111111111111,175822.8228625
영등포동8가,3354.111111111111,175822.8228625
여의도동,33105.0,2830025.4106208333
당산동1가,6905.666666666667,256826.0385986111
당산동2가,6905.666666666667,256826.0385986111
당산동3가,6905.666666666667,256826.0385986111
당산동4가,9471.75,283008.66566145833
당산동5가,9471.75,283008.66566145833
당산동6가,9471.75,283008.66566145833
당산동,9471.75,283008.66566145833
도림동,19813.0,429156.5085375
문래동1가,5453.0,200207.62009236112
문래동2가,5453.0,200207.62009236112
문래동3가,5453.0,200207.62009236112
문래동4가,5453.0,200207.62009236112
문래동5가,5453.0,200207.62009236112
문래동6가,5453.0,200207.62009236112
양평동1가,6224.0,190949.8599236111
양평동2가,6224.0,190949.8599236111
