"행정구역(동읍면)별","5세별","항목","단위","2019.11 월",
"평창동","20 - 24세","여자인구수[명]","명","666",
"평창동","25 - 29세","총인구수[명]","명","1277",
"평창동","25 - 29세","남자인구수[명]","명","675",
"평창동","25 - 29세","여자인구수[명]","명","602",
"평창동","30 - 34세","총인구수[명]","명","1057",
"평창동","30 - 34세","남자인구수[명]","명","507",
"평창동","30 - 34세","여자인구수[명]","명","550",
"평창동","35 - 39세","총인구수[명]","명","1250",
"평창동","35 - 39세","남자인구수[명]","명","553",
"평창동","35 - 39세","여자인구수[명]","명","697",
"평창동","40 - 44세","총인구수[명]","명","1187",
"평창동","40 - 44세","남자인구수[명]","명","529",
"평창동","40 - 44세","여자인구수[명]","명","658",
"평창동","45 - 49세","총인구수[명]","명","1615",
"평창동","45 - 49세","남자인구수[명]","명","720",
"평창동","45 - 49세","여자인구수[명]","명","895",
"평창동","50 - 54세","총인구수[명]","명","1681",
"평창동","50 - 54세","남자인구수[명]","명","727",
"평창동","50 - 54세","여자인구수[명]","명","954",
"평창동","55 - 59세","총인구수[명]","명","1675",
"평창동","55 - 59세","남자인구수[명]","명","791",
"평창동","55 - 59세","여자인구수[명]","명","884",
"평창동","60 - 64세","총인구수[명]","명","1409",
"평창동","60 - 64세","남자인구수[명]","명","673",
"평창동","60 - 64세","여자인구수[명]","명","736",
"평창동","65 - 69세","총인구수[명]","명","910",
"평창동","65 - 69세","남자인구수[명]","명","446",
"평창동","65 - 69세","여자인구수[명]","명","464",
"평창동","70 - 74세","총인구수[명]","명","773",
"평창동","70 - 74세","남자인구수[명]","명","333",
"평창동","70 - 74세","여자인구수[명]","명","440",
"평창동","75 - 79세","총인구수[명]","명","643",
"평창동","75 - 79세","남자인구수[명]","명","286",
"평창동","75 - 79세","여자인구수[명]","명","357",
"평창동","80 - 84세","총인구수[명]","명","463",
"평창동","80 - 84세","남자인구수[명]","명","188",
"평창동","80 - 84세","여자인구수[명]","명","275",
"평창동","85 - 89세","총인구수[명]","명","266",
"평창동","85 - 89세","남자인구수[명]","명","86",
"평창동","85 - 89세","여자인구수[명]","명","180",
"평창동","90 - 94세","총인구수[명]","명","115",
"평창동","90 - 94세","남자인구수[명]","명","30",
"평창동","90 - 94세","여자인구수[명]","명","85",
"평창동","95 - 99세","총인구수[명]","명","39",
"평창동","95 - 99세","남자인구수[명]","명","9",
"평창동","95 - 99세","여자인구수[명]","명","30",
"평창동","100+","총인구수[명]","명","25",
"평창동","100+","남자인구수[명]","명","9",
"평창동","100+","여자인구수[명]","명","16",
"무악동","계","총인구수[명]","명","8695",
"무악동","계","남자인구수[명]","명","4068",
"무악동","계","여자인구수[명]","명","4627",
"무악동","0 - 4세","총인구수[명]","명","307",
"무악동","0 - 4세","남자인구수[명]","명","145",
"무악동","0 - 4세","여자인구수[명]","명","162",
"무악동","5 - 9세","총인구수[명]","명","445",
"무악동","5 - 9세","남자인구수[명]","명","197",
"무악동","5 - 9세","여자인구수[명]","명","248",
"무악동","10 - 14세","총인구수[명]","명","492",
"무악동","10 - 14세","남자인구수[명]","명","233",
"무악동","10 - 14세","여자인구수[명]","명","259",
"무악동","15 - 19세","총인구수[명]","명","541",
"무악동","15 - 19세","남자인구수[명]","명","260",
"무악동","15 - 19세","여자인구수[명]","명","281",
"무악동","20 - 24세","총인구수[명]","명","508",
"무악동","20 - 24세","남자인구수[명]","명","232",
"무악동","20 - 24세","여자인구수[명]","명","276",
"무악동","25 - 29세","총인구수[명]","명","464",
"무악동","25 - 29세","남자인구수[명]","명","211",
"무악동","25 - 29세","여자인구수[명]","명","253",
"무악동","30 - 34세","총인구수[명]","명","410",
"무악동","30 - 34세","남자인구수[명]","명","181",
"무악동","30 - 34세","여자인구수[명]","명","229",
"무악동","35 - 39세","총인구수[명]","명","567",
"무악동","35 - 39세","남자인구수[명]","명","260",
"무악동","35 - 39세","여자인구수[명]","명","307",
"무악동","40 - 44세","총인구수[명]","명","691",
"무악동","40 - 44세","남자인구수[명]","명","320",
"무악동","40 - 44세","여자인구수[명]","명","371",
"무악동","45 - 49세","총인구수[명]","명","918",
"무악동","45 - 49세","남자인구수[명]","명","455",
"무악동","45 - 49세","여자인구수[명]","명","463",
"무악동","50 - 54세","총인구수[명]","명","701",
"무악동","50 - 54세","남자인구수[명]","명","384",
"무악동","50 - 54세","여자인구수[명]","명","317",
"무악동","55 - 59세","총인구수[명]","명","698",
"무악동","55 - 59세","남자인구수[명]","명","341",
"무악동","55 - 59세","여자인구수[명]","명","357",
"무악동","60 - 64세","총인구수[명]","명","552",
"무악동","60 - 64세","남자인구수[명]","명","256",
"무악동","60 - 64세","여자인구수[명]","명","296",
"무악동","65 - 69세","총인구수[명]","명","415",
"무악동","65 - 69세","남자인구수[명]","명","187",
"무악동","65 - 69세","여자인구수[명]","명","228",
"무악동","70 - 74세","총인구수[명]","명","337",
"무악동","70 - 74세","남자인구수[명]","명","145",
"무악동","70 - 74세","여자인구수[명]","명","192",
"무악동","75 - 79세","총인구수[명]","명","300",
"무악동","75 - 79세","남자인구수[명]","명","113",
"무악동","75 - 79세","여자인구수[명]","명","187",
"무악동","80 - 84세","총인구수[명]","명","210",
"무악동","80 - 84세","남자인구수[명]","명","90",
"무악동","80 - 84세","여자인구수[명]","명","120",
"무악동","85 - 89세","총인구수[명]","명","75",
"무악동","85 - 89세","남자인구수[명]","명","29",
"무악동","85 - 89세","여자인구수[명]","명","46",
"무악동","90 - 94세","총인구수[명]","명","37",
"무악동","90 - 94세","남자인구수[명]","명","14",
"무악동","90 - 94세","여자인구수[명]","명","23",
"무악동","95 - 99세","총인구수[명]","명","12",
"무악동","95 - 99세","남자인구수[명]","명","5",
"무악동","95 - 99세","여자인구수[명]","명","7",
"무악동","100+","총인구수[명]","명","15",
"무악동","100+","남자인구수[명]","명","10",
"무악동","100+","여자인구수[명]","명","5",
"교남동","계","총인구수[명]","명","10577",
